template_code,template_name,template_revision,section_order,section_title,item_order,item_code,item_label,required,response_type,unit,minimum,maximum,select_options,notes
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,2,Product Identity & Traceability,7,FGQA-11,Label matches the currently approved Product/label specification,true,YES_NO_NA,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,3,Packaging & Product Condition,1,FGQA-12,Primary packaging is clean and suitable,true,YES_NO,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,3,Packaging & Product Condition,2,FGQA-13,"No visible tear, puncture, leakage or unacceptable package damage",true,YES_NO,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,3,Packaging & Product Condition,3,FGQA-14,Seal/closure integrity is acceptable where applicable,true,YES_NO_NA,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,3,Packaging & Product Condition,4,FGQA-15,Secondary/outer packaging condition is acceptable where applicable,true,YES_NO_NA,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,3,Packaging & Product Condition,5,FGQA-16,No visible foreign material is observed,true,YES_NO,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,3,Packaging & Product Condition,6,FGQA-17,Product appearance/colour is acceptable against approved specification,true,YES_NO_NA,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,3,Packaging & Product Condition,7,FGQA-18,Product odour is acceptable where sensory checking is permitted,true,YES_NO_NA,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,4,Measurements & Temperature,1,FGQA-19,Actual pack/product weight,true,NUMBER,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,4,Measurements & Temperature,2,FGQA-20,Actual pack/count quantity where applicable,true,NUMBER,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,4,Measurements & Temperature,3,FGQA-21,Actual product temperature,true,NUMBER,°C,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,4,Measurements & Temperature,4,FGQA-22,Product temperature meets approved Product specification,true,YES_NO_NA,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,4,Measurements & Temperature,5,FGQA-23,Actual storage/cold-room temperature,true,NUMBER,°C,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,4,Measurements & Temperature,6,FGQA-24,Storage temperature is within approved operating specification,true,YES_NO_NA,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,4,Measurements & Temperature,7,FGQA-25,No unacceptable temperature-abuse condition is observed where applicable,true,YES_NO_NA,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,5,Storage & Stock Control,1,FGQA-26,Product is stored under the required approved condition,true,YES_NO,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,5,Storage & Stock Control,2,FGQA-27,Batch/Lot segregation is maintained,true,YES_NO,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,5,Storage & Stock Control,3,FGQA-28,HOLD/REJECT material is segregated from releasable Product,true,YES_NO_NA,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,5,Storage & Stock Control,4,FGQA-29,Required stock-rotation method is being followed,true,YES_NO_NA,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,5,Storage & Stock Control,5,FGQA-30,Traceability information is sufficient to identify the lot,true,YES_NO,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,6,Dispatch,1,FGQA-31,Vehicle/container is visibly clean and suitable where dispatch applies,true,YES_NO_NA,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,6,Dispatch,2,FGQA-32,No visible contamination or unacceptable transport condition exists,true,YES_NO_NA,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,6,Dispatch,3,FGQA-33,Vehicle/load temperature before dispatch,true,NUMBER,°C,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,6,Dispatch,4,FGQA-34,Transport temperature meets approved Product specification,true,YES_NO_NA,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,6,Dispatch,5,FGQA-35,Product is protected from contamination/damage during loading,true,YES_NO_NA,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,6,Dispatch,6,FGQA-36,"Product, Batch/Lot and Quantity match dispatch requirement",true,YES_NO_NA,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,6,Dispatch,7,FGQA-37,Required dispatch/traceability documentation is complete,true,YES_NO_NA,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,7,Final Review / Disposition,1,FGQA-38,All identified non-conformities have remarks/deviation information recorded,true,YES_NO_NA,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,7,Final Review / Disposition,2,FGQA-39,Corrective action/disposition is recorded where a deviation exists,true,YES_NO_NA,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,7,Final Review / Disposition,3,FGQA-40,Supervisor review completed,true,YES_NO,,,,,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,7,Final Review / Disposition,4,FGQA-41,Proposed final disposition,true,SELECT,,,,RELEASE|HOLD|REJECT,PROPOSED DRAFT NOT APPROVED
FG-QA-001,Finished Goods Quality Release & Dispatch Checklist,Draft v0.1 — Proposed,7,Final Review / Disposition,5,FGQA-42,Authorized QA/release verification completed where required,true,YES_NO_NA,,,,,PROPOSED DRAFT NOT APPROVED
