field_name,required,data_type,source_system,source_field,scope,validation_rule,example_value,approved_by,approval_date,notes
erp_item_identifier,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Optional blank field in 05C (erp_item_code) — values EVIDENCE REQUIRED
storage_category,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Optional blank label in 05C — not CCP approval
shelf_life_reference,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Optional blank reference in 05C — not computed limit
label_artwork_reference,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Optional blank reference in 05C
effective_from,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Optional blank in 05C — business rules EVIDENCE REQUIRED
effective_to,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Optional blank in 05C — prefer over hard delete
production_line,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Candidate only — not implemented
work_center,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Candidate only — not implemented
temperature_classification,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Candidate only — not implemented
site_applicability,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Unresolved — not modeled in 05A/05C
department_applicability,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,EVIDENCE REQUIRED,,EVIDENCE REQUIRED,EVIDENCE REQUIRED,Unresolved — not modeled in 05A/05C
